estacao=Jaguaquara (9000841)
municipio=Jaguaquara (2917607)
latitude=-13.57
longitude=-39.94
altitude=769.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;17,0;não;20,5;não;24,0;não;89,0;não;100,0;não;1,25;não
29/09/2016;18,0;sim;22,5;sim;27,0;sim;;não;;não;;não
28/09/2016;17,0;sim;21,5;sim;26,0;sim;;não;;não;;não
27/09/2016;17,5;não;22,0;não;26,5;não;62,0;não;100,0;não;0,5;não
26/09/2016;16,5;não;19,75;não;23,0;não;85,0;não;100,0;não;0,0;não
25/09/2016;15,5;não;17,75;não;20,0;não;100,0;não;100,0;não;0,0;não
24/09/2016;15,5;não;17,25;não;19,0;não;100,0;não;100,0;não;1,0;não
23/09/2016;15,5;não;17,0;não;18,5;não;62,0;não;100,0;não;2,25;não
22/09/2016;18,0;não;22,5;não;27,0;não;57,0;não;100,0;não;0,0;não
21/09/2016;14,5;não;19,75;não;25,0;não;70,0;não;100,0;não;0,0;não
20/09/2016;14,0;não;19,0;não;24,0;não;74,0;não;100,0;não;0,0;não
19/09/2016;15,5;não;18,5;não;21,5;não;99,0;não;100,0;não;0,25;não
18/09/2016;16,0;não;18,0;não;20,0;não;67,0;não;100,0;não;3,5;não
17/09/2016;16,0;não;21,0;não;26,0;não;54,0;não;100,0;não;0,0;não
16/09/2016;16,0;não;20,25;não;24,5;não;86,0;não;99,0;não;0,0;não
15/09/2016;15,0;não;19,5;não;24,0;não;63,0;não;100,0;não;0,0;não
14/09/2016;15,0;não;19,0;não;23,0;não;79,0;não;100,0;não;0,0;não
13/09/2016;15,0;não;19,25;não;23,5;não;62,0;não;100,0;não;0,0;não
12/09/2016;15,5;não;19,0;não;22,5;não;69,0;não;100,0;não;0,0;não
11/09/2016;15,5;não;19,25;não;23,0;não;86,0;não;100,0;não;1,5;não
10/09/2016;13,5;não;18,5;não;23,5;não;70,0;não;100,0;não;1,0;não
09/09/2016;14,5;não;18,75;não;23,0;não;80,0;não;100,0;não;0,0;não
08/09/2016;14,0;não;19,0;não;24,0;não;65,0;não;100,0;não;0,0;não
07/09/2016;14,0;não;17,5;não;21,0;não;88,0;não;100,0;não;0,0;não
