estacao=MONTE ALEGRE DE GOIAS (9000303)
municipio=Monte Alegre de Goiás (5213509)
latitude=-13.2481
longitude=-46.8897
altitude=567.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;19,5;não;27,15;não;34,8;não;26,0;não;81,0;não;0,0;não
29/09/2016;20,8;não;28,3;não;35,8;não;21,0;não;86,0;não;0,0;não
28/09/2016;20,6;não;27,2;não;33,8;não;28,0;não;87,0;não;0,2;não
27/09/2016;20,4;não;27,3;não;34,2;não;24,0;não;92,0;não;0,0;não
26/09/2016;20,2;não;24,5;não;28,8;não;47,0;não;97,0;não;0,0;não
25/09/2016;23,0;não;25,6;não;28,2;não;47,0;não;88,0;não;0,2;não
24/09/2016;21,1;não;27,35;não;33,6;não;30,0;não;95,0;não;0,4;não
23/09/2016;21,1;não;24,05;não;27,0;não;54,0;não;93,0;não;0,8;não
22/09/2016;25,0;não;30,9;não;36,8;não;20,0;não;56,0;não;0,0;não
21/09/2016;22,3;não;30,2;não;38,1;não;14,0;não;46,0;não;0,0;não
20/09/2016;22,0;não;29,8;não;37,6;não;13,0;não;43,0;não;0,0;não
19/09/2016;23,1;não;30,15;não;37,2;não;14,0;não;46,0;não;0,0;não
18/09/2016;;não;;não;;não;;não;;não;0,0;sim
17/09/2016;24,1;não;31,25;não;38,4;não;12,0;não;41,0;não;0,0;não
16/09/2016;21,9;não;29,75;não;37,6;não;13,0;não;45,0;não;0,0;não
15/09/2016;24,7;não;31,3;não;37,9;não;13,0;não;31,0;não;0,0;não
14/09/2016;21,7;não;29,65;não;37,6;não;12,0;não;42,0;não;0,0;não
13/09/2016;23,0;não;29,8;não;36,6;não;13,0;não;34,0;não;0,0;não
12/09/2016;20,1;não;27,85;não;35,6;não;13,0;não;37,0;não;0,0;não
11/09/2016;20,2;não;27,5;não;34,8;não;12,0;não;46,0;não;0,0;não
10/09/2016;24,3;não;29,1;não;33,9;não;15,0;não;43,0;não;0,0;não
09/09/2016;23,6;não;30,1;não;36,6;não;12,0;não;35,0;não;0,0;não
08/09/2016;22,1;não;29,9;não;37,7;não;13,0;não;37,0;não;0,0;não
07/09/2016;22,8;não;29,6;não;36,4;não;13,0;não;37,0;não;0,0;não
06/09/2016;22,3;não;28,8;não;35,3;não;14,0;não;49,0;não;0,0;não
05/09/2016;21,6;não;28,1;não;34,6;não;15,0;não;45,0;não;0,0;não
04/09/2016;22,2;não;28,0;não;33,8;não;16,0;não;49,0;não;0,0;não
03/09/2016;22,9;não;28,15;não;33,4;não;19,0;não;48,0;não;0,0;não
02/09/2016;24,8;não;30,15;não;35,5;não;18,0;não;41,0;não;0,0;não
01/09/2016;22,8;não;29,8;não;36,8;não;16,0;não;46,0;não;0,0;não
31/08/2016;22,7;não;28,95;não;35,2;não;18,0;não;48,0;não;0,0;não
