estacao=SE Barreiro (9001141)
municipio=Contagem (3118601)
latitude=-19.82
longitude=-44.18
altitude=870.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;19,0;sim;24,5;sim;30,0;sim;;não;;não;;não
29/09/2016;18,0;sim;25,0;sim;32,0;sim;;não;;não;;não
28/09/2016;17,0;sim;23,0;sim;29,0;sim;;não;;não;;não
27/09/2016;15,7;não;20,5;não;25,3;não;48,0;não;90,0;não;0,0;não
26/09/2016;16,5;não;19,65;não;22,8;não;65,0;não;86,0;não;1,0;não
25/09/2016;15,5;não;19,8;não;24,1;não;61,0;não;94,0;não;35,0;não
24/09/2016;17,8;não;23,1;não;28,4;não;42,0;não;92,0;não;4,0;não
23/09/2016;15,1;não;21,4;não;27,7;não;34,0;não;81,0;não;0,0;não
22/09/2016;12,6;não;18,25;não;23,9;não;47,0;não;75,0;não;0,0;não
21/09/2016;15,0;não;18,15;não;21,3;não;63,0;não;88,0;não;0,0;não
20/09/2016;16,8;não;21,8;não;26,8;não;49,0;não;91,0;não;2,76;sim
19/09/2016;21,2;não;25,45;não;29,7;não;35,0;não;69,0;não;0,0;não
18/09/2016;19,1;não;24,6;não;30,1;não;29,0;não;72,0;não;0,0;não
17/09/2016;17,4;não;21,65;não;25,9;não;54,0;não;82,0;não;0,0;não
16/09/2016;20,2;não;23,6;não;27,0;não;48,0;não;73,0;não;0,0;não
15/09/2016;22,3;não;26,8;não;31,3;não;29,0;não;50,0;não;0,0;não
14/09/2016;20,3;não;25,3;não;30,3;não;26,0;não;58,0;não;0,0;não
13/09/2016;16,4;não;22,2;não;28,0;não;29,0;não;76,0;não;0,0;não
12/09/2016;17,8;não;22,0;não;26,2;não;36,0;não;64,0;não;0,0;não
11/09/2016;16,6;não;21,3;não;26,0;não;38,0;não;72,0;não;0,0;não
10/09/2016;17,1;não;21,45;não;25,8;não;46,0;não;77,0;não;0,0;não
09/09/2016;18,0;não;22,75;não;27,5;não;36,0;não;71,0;não;0,0;não
08/09/2016;19,5;não;24,0;não;28,5;não;30,0;não;63,0;não;0,0;não
07/09/2016;18,1;não;23,05;não;28,0;não;33,0;não;63,0;não;0,0;não
06/09/2016;16,5;não;21,35;não;26,2;não;39,0;não;72,0;não;0,0;não
05/09/2016;15,8;não;20,35;não;24,9;não;40,0;não;77,0;não;0,0;não
04/09/2016;15,2;não;19,95;não;24,7;não;42,0;não;86,0;não;0,0;não
03/09/2016;15,8;não;19,45;não;23,1;não;44,0;não;79,0;não;0,0;não
02/09/2016;16,7;não;20,25;não;23,8;não;53,0;não;85,0;não;0,0;não
01/09/2016;16,2;não;19,7;não;23,2;não;63,0;não;93,0;não;25,0;não
31/08/2016;18,0;sim;23,5;sim;29,0;sim;;não;;não;0,0;sim
30/08/2016;17,3;não;22,25;não;27,2;não;36,0;não;76,0;não;0,0;não
29/08/2016;17,0;não;22,0;não;27,0;não;27,0;não;65,0;não;0,0;não
28/08/2016;14,9;não;20,45;não;26,0;não;37,0;não;78,0;não;0,0;não
