estacao=Serra dos Aimores (automatica) (9000417)
municipio=Serra dos Aimorés (3166709)
latitude=-17.7997
longitude=-40.25
altitude=209.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;19,7;não;26,35;não;33,0;não;31,0;não;97,0;não;0,0;não
29/09/2016;18,6;não;24,65;não;30,7;não;38,0;não;93,0;não;0,0;não
28/09/2016;19,4;não;23,45;não;27,5;não;49,0;não;94,0;não;0,0;não
27/09/2016;19,3;não;21,4;não;23,5;não;70,0;não;95,0;não;1,0;não
26/09/2016;21,1;não;23,1;não;25,1;não;64,0;não;89,0;não;0,0;não
25/09/2016;18,4;não;24,6;não;30,8;não;32,0;não;93,0;não;0,0;não
24/09/2016;19,3;não;25,5;não;31,7;não;30,0;não;84,0;não;0,0;não
23/09/2016;18,8;não;23,85;não;28,9;não;39,0;não;86,0;não;0,0;não
22/09/2016;19,8;não;23,2;não;26,6;não;36,0;não;75,0;não;0,0;não
21/09/2016;20,7;não;22,3;não;23,9;não;55,0;não;88,0;não;0,0;não
20/09/2016;20,6;não;26,9;não;33,2;não;28,0;não;82,0;não;0,0;não
19/09/2016;20,1;não;26,5;não;32,9;não;28,0;não;85,0;não;0,0;não
18/09/2016;23,0;sim;31,0;sim;39,0;sim;;não;;não;0,0;sim
17/09/2016;20,2;não;25,2;não;30,2;não;40,0;não;93,0;não;0,4;não
16/09/2016;20,5;não;25,65;não;30,8;não;33,0;não;87,0;não;0,0;não
15/09/2016;19,9;não;26,1;não;32,3;não;31,0;não;85,0;não;0,0;não
14/09/2016;19,6;não;25,55;não;31,5;não;30,0;não;85,0;não;0,0;não
13/09/2016;19,6;não;25,2;não;30,8;não;33,0;não;93,0;não;0,0;não
12/09/2016;17,3;não;24,25;não;31,2;não;34,0;não;96,0;não;0,0;não
11/09/2016;17,9;não;23,9;não;29,9;não;38,0;não;95,0;não;0,0;não
10/09/2016;19,3;não;24,45;não;29,6;não;32,0;não;95,0;não;0,4;não
09/09/2016;19,7;não;24,45;não;29,2;não;50,0;não;93,0;não;0,8;não
08/09/2016;19,5;não;24,9;não;30,3;não;31,0;não;87,0;não;0,0;não
07/09/2016;18,9;não;24,75;não;30,6;não;33,0;não;92,0;não;0,0;não
06/09/2016;17,1;não;23,75;não;30,4;não;33,0;não;97,0;não;0,0;não
05/09/2016;19,1;não;24,0;não;28,9;não;40,0;não;93,0;não;1,6;não
04/09/2016;17,9;não;22,65;não;27,4;não;43,0;não;96,0;não;1,0;não
03/09/2016;18,1;não;22,8;não;27,5;não;44,0;não;96,0;não;0,8;não
02/09/2016;18,7;não;24,3;não;29,9;não;31,0;não;96,0;não;0,0;não
01/09/2016;19,7;não;24,9;não;30,1;não;39,0;não;91,0;não;0,0;não
31/08/2016;20,9;não;25,3;não;29,7;não;42,0;não;90,0;não;0,0;não
30/08/2016;18,2;não;24,55;não;30,9;não;36,0;não;97,0;não;0,0;não
29/08/2016;17,2;não;22,85;não;28,5;não;48,0;não;97,0;não;0,0;não
28/08/2016;16,2;não;21,55;não;26,9;não;50,0;não;95,0;não;0,0;não
27/08/2016;16,6;não;22,15;não;27,7;não;40,0;não;85,0;não;0,0;não
26/08/2016;16,3;não;21,35;não;26,4;não;47,0;não;82,0;não;0,0;não
25/08/2016;14,2;não;19,2;não;24,2;não;52,0;não;93,0;não;0,2;não
24/08/2016;17,3;não;20,65;não;24,0;não;56,0;não;96,0;não;1,2;não
23/08/2016;16,9;não;19,1;não;21,3;não;68,0;não;95,0;não;0,4;não
22/08/2016;19,5;não;22,55;não;25,6;não;57,0;não;93,0;não;0,0;não
21/08/2016;19,8;não;26,4;não;33,0;não;34,0;não;93,0;não;0,0;não
20/08/2016;18,0;não;22,8;não;27,6;não;60,0;não;97,0;não;1,6;não
19/08/2016;21,0;não;25,85;não;30,7;não;37,0;não;95,0;não;0,0;não
18/08/2016;20,7;não;26,8;não;32,9;não;33,0;não;90,0;não;0,0;não
17/08/2016;19,5;não;26,55;não;33,6;não;29,0;não;96,0;não;0,0;não
16/08/2016;18,5;não;25,25;não;32,0;não;31,0;não;92,0;não;0,0;não
15/08/2016;19,4;não;25,2;não;31,0;não;38,0;não;91,0;não;0,0;não
14/08/2016;18,1;não;23,85;não;29,6;não;41,0;não;97,0;não;0,0;não
13/08/2016;17,8;não;20,85;não;23,9;não;63,0;não;91,0;não;0,0;não
12/08/2016;18,6;não;20,75;não;22,9;não;56,0;não;93,0;não;0,4;não
11/08/2016;19,3;não;24,1;não;28,9;não;40,0;não;95,0;não;0,0;não
10/08/2016;18,0;não;24,15;não;30,3;não;32,0;não;93,0;não;0,0;não
09/08/2016;18,6;não;23,65;não;28,7;não;40,0;não;97,0;não;0,0;não
08/08/2016;17,5;não;23,3;não;29,1;não;37,0;não;95,0;não;0,0;não
07/08/2016;18,2;não;24,4;não;30,6;não;30,0;não;95,0;não;0,0;não
06/08/2016;17,2;não;22,3;não;27,4;não;46,0;não;98,0;não;0,2;não
05/08/2016;18,3;não;22,45;não;26,6;não;46,0;não;95,0;não;0,0;não
04/08/2016;18,0;não;19,6;não;21,2;não;81,0;não;97,0;não;6,8;não
03/08/2016;23,0;sim;31,0;sim;39,0;sim;;não;;não;0,0;sim
02/08/2016;18,4;não;21,7;não;25,0;não;70,0;não;97,0;não;4,0;não
01/08/2016;14,8;não;19,35;não;23,9;não;55,0;não;93,0;não;0,0;não
31/07/2016;17,4;não;20,7;não;24,0;não;51,0;não;97,0;não;5,0;não
30/07/2016;18,3;não;20,85;não;23,4;não;65,0;não;96,0;não;5,8;não
29/07/2016;17,4;não;21,6;não;25,8;não;54,0;não;93,0;não;0,0;não
28/07/2016;16,7;não;22,5;não;28,3;não;42,0;não;97,0;não;0,0;não
27/07/2016;15,6;não;22,3;não;29,0;não;31,0;não;96,0;não;0,0;não
26/07/2016;17,6;não;22,7;não;27,8;não;35,0;não;97,0;não;0,4;não
25/07/2016;17,7;não;22,55;não;27,4;não;51,0;não;97,0;não;0,0;não
24/07/2016;18,7;não;21,9;não;25,1;não;68,0;não;97,0;não;7,6;não
23/07/2016;18,2;não;20,9;não;23,6;não;71,0;não;95,0;não;7,4;não
22/07/2016;19,3;não;22,45;não;25,6;não;60,0;não;94,0;não;0,0;não
21/07/2016;19,7;não;23,8;não;27,9;não;46,0;não;87,0;não;0,0;não
20/07/2016;19,7;não;22,3;não;24,9;não;57,0;não;84,0;não;0,0;não
19/07/2016;18,5;não;21,2;não;23,9;não;61,0;não;78,0;não;0,0;não
18/07/2016;19,7;não;21,75;não;23,8;não;69,0;não;87,0;não;0,0;não
17/07/2016;18,6;não;24,5;não;30,4;não;38,0;não;91,0;não;0,0;não
16/07/2016;17,5;não;24,5;não;31,5;não;24,0;não;91,0;não;0,0;não
15/07/2016;18,0;não;24,05;não;30,1;não;41,0;não;96,0;não;0,0;não
14/07/2016;18,5;não;23,8;não;29,1;não;39,0;não;93,0;não;0,0;não
13/07/2016;16,9;não;23,05;não;29,2;não;31,0;não;97,0;não;0,0;não
12/07/2016;15,9;não;22,55;não;29,2;não;33,0;não;91,0;não;0,0;não
11/07/2016;16,8;não;22,8;não;28,8;não;30,0;não;92,0;não;0,0;não
10/07/2016;15,5;não;21,3;não;27,1;não;40,0;não;94,0;não;0,0;não
09/07/2016;17,5;não;21,0;não;24,5;não;53,0;não;87,0;não;0,0;não
08/07/2016;19,0;não;21,45;não;23,9;não;54,0;não;97,0;não;0,0;não
07/07/2016;17,9;não;24,35;não;30,8;não;30,0;não;98,0;não;0,2;não
06/07/2016;17,2;não;22,3;não;27,4;não;55,0;não;98,0;não;0,4;não
05/07/2016;18,6;não;22,8;não;27,0;não;45,0;não;97,0;não;0,0;não
04/07/2016;18,9;não;22,85;não;26,8;não;53,0;não;96,0;não;2,2;não
03/07/2016;18,5;não;22,3;não;26,1;não;52,0;não;97,0;não;0,0;não
02/07/2016;19,8;não;23,25;não;26,7;não;48,0;não;97,0;não;5,0;não
01/07/2016;19,0;não;22,7;não;26,4;não;48,0;não;97,0;não;2,6;não
30/06/2016;19,4;não;22,95;não;26,5;não;61,0;não;97,0;não;1,8;não
29/06/2016;19,2;não;22,0;não;24,8;não;74,0;não;96,0;não;8,6;não
28/06/2016;18,4;não;22,2;não;26,0;não;43,0;não;97,0;não;9,8;não
27/06/2016;17,2;não;22,2;não;27,2;não;39,0;não;96,0;não;1,8;não
26/06/2016;16,1;não;20,35;não;24,6;não;48,0;não;94,0;não;0,0;não
25/06/2016;18,8;não;20,7;não;22,6;não;66,0;não;93,0;não;1,4;não
24/06/2016;17,0;não;22,35;não;27,7;não;45,0;não;97,0;não;0,0;não
23/06/2016;18,6;não;24,0;não;29,4;não;40,0;não;97,0;não;0,0;não
22/06/2016;17,2;não;22,6;não;28,0;não;43,0;não;94,0;não;0,0;não
21/06/2016;17,0;não;22,15;não;27,3;não;40,0;não;97,0;não;0,2;não
20/06/2016;18,7;não;23,2;não;27,7;não;39,0;não;97,0;não;0,2;não
19/06/2016;18,4;não;21,5;não;24,6;não;64,0;não;97,0;não;1,6;não
18/06/2016;14,1;não;21,2;não;28,3;não;37,0;não;97,0;não;0,4;não
17/06/2016;15,7;não;20,4;não;25,1;não;50,0;não;97,0;não;0,0;não
16/06/2016;13,9;não;20,15;não;26,4;não;35,0;não;97,0;não;0,2;não
15/06/2016;13,7;não;20,0;não;26,3;não;33,0;não;95,0;não;0,0;não
14/06/2016;16,4;não;19,85;não;23,3;não;52,0;não;82,0;não;0,0;não
13/06/2016;16,7;não;18,8;não;20,9;não;54,0;não;94,0;não;0,2;não
12/06/2016;18,1;não;19,5;não;20,9;não;72,0;não;89,0;não;0,0;não
11/06/2016;19,2;não;22,3;não;25,4;não;71,0;não;96,0;não;1,8;não
