estacao=Guaranta do Norte (automatica) (9000502)
municipio=Guarantã do Norte (5104104)
latitude=-9.95
longitude=-54.8833
altitude=286.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;22,4;não;27,4;não;32,4;não;57,0;não;94,0;não;0,2;não
29/09/2016;21,6;não;27,6;não;33,6;não;49,0;não;97,0;não;0,0;não
28/09/2016;22,5;não;27,95;não;33,4;não;49,0;não;95,0;não;0,2;não
27/09/2016;21,0;não;27,15;não;33,3;não;46,0;não;97,0;não;0,2;não
26/09/2016;21,4;não;25,05;não;28,7;não;62,0;não;97,0;não;0,2;não
25/09/2016;23,4;não;28,9;não;34,4;não;44,0;não;93,0;não;0,2;não
24/09/2016;22,4;não;27,2;não;32,0;não;55,0;não;97,0;não;0,0;não
23/09/2016;21,0;não;26,65;não;32,3;não;49,0;não;97,0;não;0,2;não
22/09/2016;21,0;não;27,05;não;33,1;não;49,0;não;97,0;não;0,2;não
21/09/2016;22,9;não;28,6;não;34,3;não;44,0;não;93,0;não;0,0;não
20/09/2016;21,3;não;28,0;não;34,7;não;41,0;não;97,0;não;0,2;não
19/09/2016;20,4;não;26,6;não;32,8;não;47,0;não;95,0;não;0,2;não
18/09/2016;21,0;sim;26,5;sim;32,0;sim;;não;;não;15,96;sim
17/09/2016;21,1;não;28,1;não;35,1;não;42,0;não;96,0;não;0,0;não
16/09/2016;21,9;não;28,2;não;34,5;não;42,0;não;93,0;não;0,2;não
15/09/2016;22,2;não;28,4;não;34,6;não;46,0;não;95,0;não;0,2;não
14/09/2016;23,4;não;28,95;não;34,5;não;38,0;não;91,0;não;0,0;não
13/09/2016;22,3;não;28,9;não;35,5;não;38,0;não;89,0;não;0,4;não
12/09/2016;20,2;não;28,45;não;36,7;não;29,0;não;90,0;não;0,0;não
11/09/2016;21,0;não;28,95;não;36,9;não;27,0;não;94,0;não;0,0;não
10/09/2016;23,5;não;30,1;não;36,7;não;31,0;não;90,0;não;0,0;não
09/09/2016;20,9;não;29,1;não;37,3;não;28,0;não;92,0;não;0,0;não
08/09/2016;19,8;não;28,0;não;36,2;não;31,0;não;93,0;não;0,0;não
07/09/2016;18,2;não;25,9;não;33,6;não;36,0;não;86,0;não;0,0;não
06/09/2016;19,6;não;26,2;não;32,8;não;36,0;não;89,0;não;0,0;não
05/09/2016;19,2;não;27,1;não;35,0;não;32,0;não;90,0;não;0,0;não
04/09/2016;21,3;não;27,15;não;33,0;não;43,0;não;95,0;não;0,0;não
03/09/2016;21,5;não;27,2;não;32,9;não;43,0;não;90,0;não;0,2;não
02/09/2016;22,7;não;27,45;não;32,2;não;47,0;não;96,0;não;0,0;não
01/09/2016;21,5;não;26,45;não;31,4;não;54,0;não;97,0;não;0,2;não
31/08/2016;21,5;não;27,7;não;33,9;não;45,0;não;93,0;não;0,2;não
30/08/2016;21,6;não;26,1;não;30,6;não;54,0;não;96,0;não;0,2;não
29/08/2016;21,9;não;27,85;não;33,8;não;45,0;não;96,0;não;0,4;não
28/08/2016;21,5;não;28,45;não;35,4;não;33,0;não;92,0;não;0,8;não
27/08/2016;20,7;não;28,1;não;35,5;não;31,0;não;93,0;não;1,2;não
26/08/2016;20,9;não;27,55;não;34,2;não;31,0;não;97,0;não;9,4;não
25/08/2016;20,0;não;28,3;não;36,6;não;31,0;não;97,0;não;9,2;não
24/08/2016;18,6;não;27,8;não;37,0;não;28,0;não;94,0;não;0,0;não
23/08/2016;16,2;não;25,4;não;34,6;não;29,0;não;97,0;não;0,0;não
22/08/2016;16,7;não;24,35;não;32,0;não;34,0;não;92,0;não;0,4;não
