estacao=Juina (automatica) (9000447)
municipio=Juína (5105150)
latitude=-11.375
longitude=-58.775
altitude=366.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;23,5;não;27,6;não;31,7;não;50,0;não;87,0;não;0,0;não
29/09/2016;26,9;não;30,35;não;33,8;não;46,0;não;83,0;não;0,0;não
28/09/2016;23,6;não;28,6;não;33,6;não;46,0;não;89,0;não;0,0;não
27/09/2016;23,7;não;28,3;não;32,9;não;49,0;não;87,0;não;0,0;não
26/09/2016;25,1;não;27,85;não;30,6;não;47,0;não;81,0;não;0,0;não
25/09/2016;24,6;não;28,7;não;32,8;não;46,0;não;89,0;não;0,0;não
24/09/2016;;não;;não;;não;;não;;não;0,0;não
23/09/2016;;não;;não;;não;;não;;não;;não
22/09/2016;;não;;não;;não;;não;;não;0,0;não
21/09/2016;22,6;não;28,5;não;34,4;não;39,0;não;91,0;não;0,0;não
20/09/2016;24,8;não;29,7;não;34,6;não;33,0;não;72,0;não;0,0;não
19/09/2016;26,6;não;29,8;não;33,0;não;37,0;não;61,0;não;0,0;não
18/09/2016;;não;;não;;não;;não;;não;4,65;sim
17/09/2016;;não;;não;;não;;não;;não;0,0;não
16/09/2016;29,2;não;31,1;não;33,0;não;40,0;não;50,0;não;0,0;não
15/09/2016;28,2;não;30,3;não;32,4;não;41,0;não;50,0;não;0,0;não
14/09/2016;32,0;não;34,35;não;36,7;não;32,0;não;54,0;não;0,0;não
13/09/2016;;não;;não;;não;;não;;não;0,0;não
12/09/2016;30,6;não;33,15;não;35,7;não;35,0;não;58,0;não;0,0;não
11/09/2016;;não;;não;;não;;não;;não;0,0;não
10/09/2016;31,1;não;33,3;não;35,5;não;31,0;não;42,0;não;0,0;não
09/09/2016;;não;;não;;não;;não;;não;0,0;sim
08/09/2016;;não;;não;;não;;não;;não;0,0;sim
07/09/2016;18,2;não;22,35;não;26,5;não;51,0;não;74,0;não;0,0;não
06/09/2016;18,5;não;21,45;não;24,4;não;56,0;não;74,0;não;0,0;não
05/09/2016;17,8;não;22,45;não;27,1;não;54,0;não;83,0;não;0,0;não
04/09/2016;19,2;não;21,55;não;23,9;não;61,0;não;76,0;não;0,0;não
03/09/2016;;não;;não;;não;;não;;não;1,53;sim
02/09/2016;24,7;não;25,9;não;27,1;não;60,0;não;72,0;não;0,0;não
01/09/2016;;não;;não;;não;;não;;não;0,0;não
31/08/2016;;não;;não;;não;;não;;não;0,0;não
30/08/2016;;não;;não;;não;;não;;não;47,85;sim
29/08/2016;;não;;não;;não;;não;;não;0,0;não
28/08/2016;25,3;não;30,05;não;34,8;não;37,0;não;73,0;não;0,0;não
27/08/2016;27,9;não;31,25;não;34,6;não;33,0;não;71,0;não;0,0;não
26/08/2016;;não;;não;;não;;não;;não;0,0;não
25/08/2016;28,9;não;31,85;não;34,8;não;30,0;não;53,0;não;0,0;não
24/08/2016;;não;;não;;não;;não;;não;0,0;não
23/08/2016;;não;;não;;não;;não;;não;0,0;não
22/08/2016;;não;;não;;não;;não;;não;0,0;não
21/08/2016;20,4;não;22,35;não;24,3;não;52,0;não;78,0;não;0,0;não
20/08/2016;24,0;não;29,25;não;34,5;não;42,0;não;86,0;não;0,0;não
19/08/2016;;não;;não;;não;;não;;não;0,0;não
18/08/2016;24,7;não;28,8;não;32,9;não;49,0;não;83,0;não;0,0;não
17/08/2016;;não;;não;;não;;não;;não;0,0;não
16/08/2016;29,2;não;32,7;não;36,2;não;35,0;não;67,0;não;0,0;não
15/08/2016;;não;;não;;não;;não;;não;0,0;não
14/08/2016;21,8;não;29,1;não;36,4;não;24,0;não;70,0;não;0,0;não
13/08/2016;20,4;não;28,35;não;36,3;não;22,0;não;65,0;não;0,0;não
12/08/2016;;não;;não;;não;;não;;não;0,0;não
11/08/2016;18,8;não;26,45;não;34,1;não;28,0;não;82,0;não;0,0;não
10/08/2016;19,4;não;26,4;não;33,4;não;31,0;não;83,0;não;0,0;não
09/08/2016;;não;;não;;não;;não;;não;0,0;não
08/08/2016;23,8;não;30,15;não;36,5;não;20,0;não;66,0;não;0,0;não
07/08/2016;;não;;não;;não;;não;;não;0,0;não
06/08/2016;22,8;não;29,7;não;36,6;não;24,0;não;72,0;não;0,0;não
05/08/2016;20,3;não;28,2;não;36,1;não;23,0;não;63,0;não;0,0;não
04/08/2016;;não;;não;;não;;não;;não;0,0;não
03/08/2016;;não;;não;;não;;não;;não;0,0;sim
02/08/2016;16,3;não;25,45;não;34,6;não;18,0;não;70,0;não;0,0;não
01/08/2016;16,4;não;25,35;não;34,3;não;20,0;não;71,0;não;0,0;não
31/07/2016;16,8;não;25,55;não;34,3;não;21,0;não;75,0;não;0,0;não
30/07/2016;16,5;não;25,7;não;34,9;não;21,0;não;73,0;não;0,0;não
29/07/2016;15,5;não;24,8;não;34,1;não;20,0;não;78,0;não;0,0;não
28/07/2016;17,0;não;25,7;não;34,4;não;20,0;não;72,0;não;0,0;não
27/07/2016;16,0;não;25,5;não;35,0;não;20,0;não;81,0;não;0,0;não
26/07/2016;16,2;não;25,45;não;34,7;não;24,0;não;77,0;não;0,0;não
25/07/2016;17,7;não;26,3;não;34,9;não;25,0;não;72,0;não;0,0;não
24/07/2016;14,9;não;25,05;não;35,2;não;18,0;não;76,0;não;0,0;não
23/07/2016;15,2;não;24,65;não;34,1;não;20,0;não;78,0;não;0,0;não
22/07/2016;14,1;não;23,7;não;33,3;não;21,0;não;80,0;não;0,0;não
21/07/2016;14,3;não;24,15;não;34,0;não;21,0;não;85,0;não;0,0;não
20/07/2016;15,0;não;23,75;não;32,5;não;27,0;não;81,0;não;0,0;não
19/07/2016;15,2;não;23,8;não;32,4;não;29,0;não;85,0;não;0,0;não
18/07/2016;15,5;não;23,7;não;31,9;não;30,0;não;91,0;não;0,0;não
17/07/2016;16,1;não;23,1;não;30,1;não;40,0;não;86,0;não;0,0;não
16/07/2016;16,2;não;25,6;não;35,0;não;19,0;não;78,0;não;0,0;não
15/07/2016;17,4;não;26,4;não;35,4;não;19,0;não;82,0;não;0,0;não
14/07/2016;16,8;não;25,85;não;34,9;não;26,0;não;78,0;não;0,0;não
13/07/2016;18,1;não;26,5;não;34,9;não;26,0;não;86,0;não;0,0;não
12/07/2016;19,3;não;27,1;não;34,9;não;32,0;não;82,0;não;0,0;não
11/07/2016;18,6;não;26,75;não;34,9;não;29,0;não;80,0;não;0,0;não
10/07/2016;16,2;não;25,65;não;35,1;não;26,0;não;84,0;não;0,0;não
09/07/2016;16,4;não;25,5;não;34,6;não;21,0;não;87,0;não;0,0;não
08/07/2016;15,9;não;24,7;não;33,5;não;30,0;não;89,0;não;0,0;não
07/07/2016;14,9;não;23,8;não;32,7;não;28,0;não;86,0;não;0,0;não
