estacao=PARATI (9000542)
municipio=Paraty (3303807)
latitude=-23.2233
longitude=-44.7267
altitude=3.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;17,1;não;19,95;não;22,8;não;64,0;não;95,0;não;8,6;não
29/09/2016;16,5;não;21,45;não;26,4;não;56,0;não;95,0;não;0,0;não
28/09/2016;17,6;não;22,1;não;26,6;não;55,0;não;93,0;não;0,0;não
27/09/2016;17,9;não;20,9;não;23,9;não;63,0;não;90,0;não;0,2;não
26/09/2016;18,0;sim;22,5;sim;27,0;sim;;não;;não;0,0;não
25/09/2016;19,0;sim;24,0;sim;29,0;sim;;não;;não;;não
24/09/2016;18,8;não;21,05;não;23,3;não;68,0;não;91,0;não;0,0;não
23/09/2016;16,7;não;21,6;não;26,5;não;49,0;não;96,0;não;0,4;não
22/09/2016;17,3;não;21,05;não;24,8;não;49,0;não;94,0;não;0,2;não
21/09/2016;15,9;não;20,3;não;24,7;não;48,0;não;81,0;não;0,0;não
20/09/2016;19,7;não;20,55;não;21,4;não;80,0;não;93,0;não;0,0;não
19/09/2016;18,0;não;23,3;não;28,6;não;54,0;não;95,0;não;4,8;não
18/09/2016;19,0;sim;23,0;sim;27,0;sim;;não;;não;0,0;sim
17/09/2016;18,3;não;21,4;não;24,5;não;67,0;não;96,0;não;3,2;não
16/09/2016;17,7;não;19,4;não;21,1;não;80,0;não;95,0;não;3,0;não
15/09/2016;17,9;não;22,05;não;26,2;não;57,0;não;95,0;não;3,4;não
14/09/2016;19,1;não;26,2;não;33,3;não;26,0;não;83,0;não;0,0;não
13/09/2016;17,8;não;26,5;não;35,2;não;27,0;não;94,0;não;0,0;não
12/09/2016;20,0;sim;27,5;sim;35,0;sim;;não;;não;0,0;não
11/09/2016;20,0;sim;26,5;sim;33,0;sim;;não;;não;0,0;não
10/09/2016;20,0;sim;26,5;sim;33,0;sim;;não;;não;0,0;sim
09/09/2016;18,0;sim;25,0;sim;32,0;sim;;não;;não;0,0;sim
08/09/2016;18,0;sim;24,0;sim;30,0;sim;;não;;não;0,0;sim
07/09/2016;18,0;sim;26,0;sim;34,0;sim;;não;;não;0,2;não
06/09/2016;20,4;não;22,6;não;24,8;não;71,0;não;91,0;não;0,2;não
05/09/2016;19,0;sim;26,0;sim;33,0;sim;;não;;não;0,0;não
04/09/2016;18,0;sim;25,0;sim;32,0;sim;;não;;não;0,0;não
03/09/2016;21,0;sim;26,0;sim;31,0;sim;;não;;não;0,0;não
02/09/2016;19,6;não;21,9;não;24,2;não;62,0;não;89,0;não;0,0;não
01/09/2016;19,0;sim;26,0;sim;33,0;sim;;não;;não;0,0;não
31/08/2016;17,9;não;21,55;não;25,2;não;70,0;não;93,0;não;1,0;não
30/08/2016;17,1;não;21,65;não;26,2;não;64,0;não;93,0;não;0,0;não
29/08/2016;15,8;não;24,75;não;33,7;não;30,0;não;93,0;não;0,0;não
28/08/2016;13,4;não;22,3;não;31,2;não;33,0;não;95,0;não;0,0;não
27/08/2016;13,0;sim;22,5;sim;32,0;sim;;não;;não;0,0;não
26/08/2016;13,2;não;19,3;não;25,4;não;57,0;não;96,0;não;0,0;não
25/08/2016;15,0;sim;22,0;sim;29,0;sim;;não;;não;0,0;não
24/08/2016;16,3;não;20,2;não;24,1;não;53,0;não;94,0;não;0,0;não
