estacao=PICO DO COUTO (9000438)
municipio=Petrópolis (3303906)
latitude=-22.465
longitude=-43.2914
altitude=1759.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;;não;;não;;não;;não;;não;;não
29/09/2016;;não;;não;;não;;não;;não;;não
28/09/2016;7,0;sim;12,0;sim;17,0;sim;;não;;não;;não
27/09/2016;6,0;sim;9,5;sim;13,0;sim;;não;;não;;não
26/09/2016;6,0;sim;9,0;sim;12,0;sim;;não;;não;;não
25/09/2016;7,0;sim;9,0;sim;11,0;sim;;não;;não;;não
24/09/2016;6,0;sim;11,0;sim;16,0;sim;;não;;não;;não
23/09/2016;4,0;sim;11,5;sim;19,0;sim;;não;;não;;não
22/09/2016;5,0;sim;10,5;sim;16,0;sim;;não;;não;;não
21/09/2016;6,0;sim;9,5;sim;13,0;sim;;não;;não;0,0;sim
20/09/2016;7,0;sim;9,5;sim;12,0;sim;;não;;não;0,0;sim
19/09/2016;9,0;sim;15,5;sim;22,0;sim;;não;;não;13,35;sim
18/09/2016;12,0;sim;15,5;sim;19,0;sim;;não;;não;0,0;sim
17/09/2016;8,0;sim;13,0;sim;18,0;sim;;não;;não;14,31;sim
16/09/2016;9,0;sim;11,0;sim;13,0;sim;;não;;não;0,0;sim
15/09/2016;8,0;sim;13,0;sim;18,0;sim;;não;;não;0,0;sim
14/09/2016;14,0;não;15,3;não;16,6;não;65,0;não;77,0;não;0,0;não
13/09/2016;12,2;não;15,9;não;19,6;não;51,0;não;82,0;não;0,2;não
12/09/2016;12,6;não;13,95;não;15,3;não;53,0;não;92,0;não;0,0;não
11/09/2016;8,0;sim;14,0;sim;20,0;sim;;não;;não;0,0;sim
10/09/2016;9,0;sim;12,5;sim;16,0;sim;;não;;não;0,0;sim
09/09/2016;8,0;sim;11,0;sim;14,0;sim;;não;;não;0,0;sim
08/09/2016;12,1;não;15,9;não;19,7;não;66,0;não;94,0;não;0,0;não
07/09/2016;13,0;não;17,5;não;22,0;não;41,0;não;84,0;não;0,0;não
06/09/2016;10,6;não;13,95;não;17,3;não;52,0;não;100,0;não;0,2;não
05/09/2016;11,7;não;16,05;não;20,4;não;61,0;não;95,0;não;0,0;não
04/09/2016;10,6;não;14,3;não;18,0;não;63,0;não;100,0;não;0,4;não
03/09/2016;11,3;não;13,95;não;16,6;não;60,0;não;99,0;não;0,2;não
02/09/2016;11,4;não;14,55;não;17,7;não;77,0;não;100,0;não;0,2;não
01/09/2016;11,4;não;13,3;não;15,2;não;86,0;não;100,0;não;23,8;não
31/08/2016;12,4;não;15,75;não;19,1;não;70,0;não;100,0;não;12,2;não
30/08/2016;12,2;não;16,85;não;21,5;não;42,0;não;89,0;não;0,0;não
29/08/2016;12,3;não;17,9;não;23,5;não;41,0;não;67,0;não;0,0;não
28/08/2016;10,0;não;15,35;não;20,7;não;33,0;não;87,0;não;0,0;não
27/08/2016;9,4;não;13,35;não;17,3;não;10,0;não;82,0;não;0,0;não
26/08/2016;9,0;não;14,0;não;19,0;não;32,0;não;84,0;não;0,0;não
25/08/2016;6,8;não;12,3;não;17,8;não;19,0;não;100,0;não;0,0;não
24/08/2016;6,6;não;11,15;não;15,7;não;61,0;não;100,0;não;0,0;não
23/08/2016;4,7;não;5,0;não;5,3;não;100,0;não;100,0;não;0,2;não
22/08/2016;4,9;não;6,8;não;8,7;não;100,0;não;100,0;não;7,8;não
21/08/2016;14,2;não;14,35;não;14,5;não;94,0;não;95,0;não;0,0;não
20/08/2016;12,0;não;14,35;não;16,7;não;77,0;não;100,0;não;0,6;não
19/08/2016;11,0;não;14,85;não;18,7;não;72,0;não;100,0;não;0,6;não
18/08/2016;11,6;não;16,3;não;21,0;não;50,0;não;100,0;não;0,0;não
17/08/2016;12,1;não;15,8;não;19,5;não;70,0;não;100,0;não;0,0;não
16/08/2016;8,8;não;14,5;não;20,2;não;43,0;não;100,0;não;15,2;não
15/08/2016;11,7;não;16,5;não;21,3;não;14,0;não;89,0;não;0,0;não
14/08/2016;9,3;não;14,85;não;20,4;não;25,0;não;100,0;não;0,2;não
13/08/2016;5,9;não;11,15;não;16,4;não;43,0;não;100,0;não;0,4;não
12/08/2016;5,5;não;8,5;não;11,5;não;87,0;não;100,0;não;0,6;não
11/08/2016;2,3;não;6,45;não;10,6;não;56,0;não;100,0;não;1,4;não
10/08/2016;11,3;não;13,15;não;15,0;não;86,0;não;100,0;não;0,2;não
09/08/2016;11,7;não;15,95;não;20,2;não;58,0;não;100,0;não;0,2;não
08/08/2016;10,0;não;14,1;não;18,2;não;60,0;não;100,0;não;0,0;não
07/08/2016;11,5;não;15,9;não;20,3;não;44,0;não;95,0;não;0,0;não
06/08/2016;9,8;não;14,3;não;18,8;não;51,0;não;99,0;não;0,0;não
05/08/2016;8,8;não;13,15;não;17,5;não;55,0;não;100,0;não;0,2;não
04/08/2016;8,7;não;11,9;não;15,1;não;73,0;não;100,0;não;0,2;não
03/08/2016;9,0;sim;13,5;sim;18,0;sim;;não;;não;0,0;sim
02/08/2016;9,8;não;13,25;não;16,7;não;63,0;não;100,0;não;1,2;não
01/08/2016;8,0;não;11,6;não;15,2;não;66,0;não;100,0;não;0,2;não
31/07/2016;8,2;não;12,45;não;16,7;não;60,0;não;100,0;não;0,6;não
30/07/2016;6,8;não;11,15;não;15,5;não;70,0;não;100,0;não;0,2;não
29/07/2016;8,3;não;10,9;não;13,5;não;86,0;não;100,0;não;0,4;não
28/07/2016;5,4;não;9,5;não;13,6;não;80,0;não;100,0;não;0,0;não
27/07/2016;7,9;não;14,3;não;20,7;não;35,0;não;100,0;não;0,0;não
26/07/2016;10,3;não;13,75;não;17,2;não;41,0;não;95,0;não;0,0;não
25/07/2016;10,8;não;14,85;não;18,9;não;56,0;não;89,0;não;0,0;não
24/07/2016;9,0;não;13,35;não;17,7;não;44,0;não;100,0;não;0,6;não
23/07/2016;7,8;não;9,5;não;11,2;não;100,0;não;100,0;não;0,2;não
22/07/2016;6,9;não;9,1;não;11,3;não;90,0;não;100,0;não;0,4;não
21/07/2016;8,4;não;9,85;não;11,3;não;100,0;não;100,0;não;0,6;não
20/07/2016;7,7;não;10,95;não;14,2;não;68,0;não;100,0;não;0,4;não
19/07/2016;5,9;não;8,7;não;11,5;não;54,0;não;100,0;não;0,0;não
18/07/2016;2,5;não;8,25;não;14,0;não;19,0;não;100,0;não;0,2;não
17/07/2016;6,9;não;11,85;não;16,8;não;49,0;não;100,0;não;2,6;não
16/07/2016;14,3;não;17,05;não;19,8;não;45,0;não;74,0;não;0,0;não
15/07/2016;12,3;não;16,05;não;19,8;não;40,0;não;79,0;não;0,0;não
14/07/2016;12,6;não;15,65;não;18,7;não;39,0;não;77,0;não;0,0;não
13/07/2016;11,8;não;15,95;não;20,1;não;49,0;não;93,0;não;0,0;não
12/07/2016;12,8;não;16,95;não;21,1;não;32,0;não;88,0;não;0,0;não
11/07/2016;12,9;não;16,6;não;20,3;não;44,0;não;75,0;não;0,0;não
10/07/2016;9,6;não;14,0;não;18,4;não;39,0;não;100,0;não;0,0;não
09/07/2016;7,0;não;11,5;não;16,0;não;32,0;não;99,0;não;0,0;não
08/07/2016;4,6;não;9,55;não;14,5;não;21,0;não;85,0;não;0,0;não
07/07/2016;11,4;não;14,2;não;17,0;não;67,0;não;92,0;não;0,0;não
06/07/2016;9,6;não;12,5;não;15,4;não;62,0;não;100,0;não;0,0;não
05/07/2016;10,1;não;13,4;não;16,7;não;69,0;não;100,0;não;0,4;não
04/07/2016;9,8;não;12,95;não;16,1;não;42,0;não;94,0;não;0,0;não
03/07/2016;11,4;não;14,45;não;17,5;não;51,0;não;83,0;não;0,0;não
02/07/2016;10,4;não;13,85;não;17,3;não;61,0;não;100,0;não;0,0;não
