estacao=CEPAGRI (9001125)
municipio=Campinas (3509502)
latitude=-22.8156
longitude=-47.0578
altitude=660.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;13,45;não;21,67;não;29,88;não;31,7;não;77,1;não;0,0;não
29/09/2016;15,16;não;23,4;não;31,64;não;17,05;não;83,8;não;0,0;não
28/09/2016;12,7;não;21,41;não;30,11;não;35,0;não;89,8;não;0,0;não
27/09/2016;11,23;não;19,94;não;28,64;não;21,85;não;93,4;não;0,0;não
26/09/2016;12,98;não;20,17;não;27,35;não;34,2;não;87,8;não;0,0;não
25/09/2016;15,0;não;19,38;não;23,75;não;55,04;não;86,5;não;0,0;não
24/09/2016;15,36;não;22,16;não;28,96;não;42,71;não;82,1;não;0,0;não
23/09/2016;13,17;não;22,07;não;30,96;não;33,53;não;90,8;não;0,0;não
22/09/2016;12,2;não;20,53;não;28,85;não;25,39;não;87,3;não;0,0;não
21/09/2016;9,26;não;16,69;não;24,11;não;39,83;não;92,6;não;0,0;não
20/09/2016;17,15;não;20,88;não;24,6;não;53,0;não;92,0;não;0,0;não
19/09/2016;15,5;não;23,11;não;30,71;não;38,34;não;96,8;não;2,29;não
18/09/2016;16,79;não;25,31;não;33,83;não;33,0;não;89,0;não;0,0;não
17/09/2016;15,04;não;23,36;não;31,68;não;41,75;não;92,2;não;0,25;não
16/09/2016;13,47;não;21,17;não;28,86;não;39,29;não;87,3;não;0,0;não
15/09/2016;14,28;não;21,28;não;28,27;não;20,85;não;77,4;não;0,0;não
14/09/2016;19,06;não;23,69;não;28,32;não;40,94;não;59,31;não;0,0;não
13/09/2016;18,14;não;25,69;não;33,24;não;22,18;não;85,8;não;0,0;não
12/09/2016;16,85;não;24,67;não;32,48;não;28,03;não;91,2;não;0,0;não
11/09/2016;16,6;não;23,81;não;31,01;não;31,64;não;94,5;não;0,0;não
10/09/2016;14,68;não;22,51;não;30,33;não;34,81;não;98,8;não;0,0;não
09/09/2016;12,98;não;22,12;não;31,25;não;34,46;não;91,4;não;0,0;não
08/09/2016;11,38;não;18,48;não;25,57;não;33,0;não;98,1;não;0,0;não
07/09/2016;15,86;não;18,45;não;21,03;não;70,9;não;99,4;não;4,83;não
06/09/2016;16,24;não;18,59;não;20,94;não;78,7;não;99,0;não;12,45;não
05/09/2016;16,38;não;22,83;não;29,27;não;36,96;não;95,2;não;0,0;não
04/09/2016;16,67;não;19,38;não;22,08;não;65,53;não;94,6;não;0,0;não
03/09/2016;15,64;não;22,21;não;28,77;não;45,93;não;90,1;não;0,0;não
02/09/2016;13,67;não;21,96;não;30,25;não;38,56;não;100,0;não;0,0;não
01/09/2016;12,8;não;20,2;não;27,59;não;33,25;não;100,0;não;10,92;não
31/08/2016;15,7;não;16,53;não;17,35;não;94,6;não;94,4;não;2,54;não
30/08/2016;17,25;não;23,53;não;29,8;não;38,44;não;79,3;não;0,0;não
29/08/2016;15,56;não;24,16;não;32,75;não;26,3;não;77,0;não;0,0;não
28/08/2016;14,69;não;23,17;não;31,64;não;24,51;não;71,2;não;0,0;não
27/08/2016;13,33;não;21,65;não;29,97;não;22,94;não;85,6;não;0,0;não
26/08/2016;12,63;não;21,21;não;29,78;não;28,88;não;91,7;não;0,0;não
25/08/2016;12,32;não;20,55;não;28,78;não;30,98;não;92,4;não;0,0;não
24/08/2016;10,18;não;19,02;não;27,85;não;38,27;não;92,3;não;0,0;não
23/08/2016;9,46;não;17,33;não;25,2;não;37,28;não;92,1;não;0,25;não
22/08/2016;8,74;não;14,19;não;19,64;não;46,23;não;100,0;não;13,21;não
21/08/2016;15,99;não;18,7;não;21,41;não;66,1;não;100,0;não;20,57;não
20/08/2016;16,06;não;18,28;não;20,49;não;83,4;não;95,2;não;0,0;não
19/08/2016;16,07;não;24,76;não;33,44;não;25,61;não;90,9;não;0,0;não
18/08/2016;14,15;não;23,08;não;32,0;não;33,17;não;92,3;não;0,0;não
17/08/2016;13,53;não;22,04;não;30,54;não;34,51;não;94,4;não;0,25;não
16/08/2016;14,97;não;19,96;não;24,95;não;54,22;não;94,1;não;0,76;não
15/08/2016;12,05;não;22,12;não;32,18;não;27,89;não;70,1;não;0,0;não
14/08/2016;8,91;não;20,2;não;31,48;não;15,33;não;92,3;não;0,0;não
13/08/2016;8,6;não;18,37;não;28,13;não;17,19;não;94,1;não;0,0;não
12/08/2016;7,76;não;16,05;não;24,34;não;25,25;não;87,1;não;0,0;não
11/08/2016;7,36;não;13,81;não;20,26;não;48,01;não;90,8;não;0,0;não
10/08/2016;15,76;não;18,2;não;20,63;não;55,87;não;90,2;não;0,0;não
09/08/2016;15,06;não;20,62;não;26,18;não;51,57;não;91,5;não;0,0;não
08/08/2016;15,0;não;21,85;não;28,7;não;38,05;não;86,3;não;0,0;não
07/08/2016;14,45;não;22,62;não;30,79;não;29,61;não;76,8;não;0,0;não
06/08/2016;14,65;não;22,21;não;29,77;não;29,73;não;83,7;não;0,0;não
05/08/2016;13,97;não;21,44;não;28,91;não;33,02;não;91,0;não;0,0;não
