estacao=CAMPOS DO JORDAO (9000134)
municipio=Campos do Jordão (3509700)
latitude=-22.75
longitude=-45.6
altitude=1659.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;8,2;não;14,6;sim;21,0;sim;71,0;não;76,0;não;0,0;não
29/09/2016;8,4;não;16,2;sim;24,0;sim;53,0;não;72,0;não;0,0;não
28/09/2016;5,8;não;13,9;sim;22,0;sim;56,0;não;76,0;não;0,0;não
27/09/2016;5,0;não;13,0;sim;21,0;sim;61,0;não;72,0;não;0,0;não
26/09/2016;8,0;sim;14,0;sim;20,0;sim;70,0;não;74,0;não;0,0;não
25/09/2016;9,0;sim;12,5;sim;16,0;sim;;não;;não;;não
24/09/2016;10,0;sim;16,5;sim;23,0;sim;;não;;não;;não
23/09/2016;4,8;não;14,4;sim;24,0;sim;45,0;não;70,0;não;0,0;não
22/09/2016;6,2;não;14,1;sim;22,0;sim;50,0;não;69,0;não;0,0;não
21/09/2016;3,6;não;8,8;sim;14,0;sim;67,0;não;79,0;não;0,0;não
20/09/2016;11,6;não;14,3;sim;17,0;sim;94,0;não;96,0;não;1,5;não
19/09/2016;11,0;sim;18,0;sim;25,0;sim;69,0;não;93,0;não;38,6;não
18/09/2016;10,0;sim;16,5;sim;23,0;sim;;não;;não;0,81;sim
17/09/2016;12,0;sim;18,5;sim;25,0;sim;;não;;não;33,6;sim
16/09/2016;7,0;não;16,0;sim;25,0;sim;69,0;não;70,0;não;0,0;não
15/09/2016;10,2;não;17,1;sim;24,0;sim;44,0;não;63,0;não;1,6;não
14/09/2016;16,0;sim;20,5;sim;25,0;sim;42,0;não;47,0;não;0,0;não
13/09/2016;11,4;não;18,2;sim;25,0;sim;42,0;não;56,0;não;0,0;não
12/09/2016;11,0;sim;17,5;sim;24,0;sim;48,0;não;76,0;não;0,0;não
11/09/2016;10,0;sim;17,0;sim;24,0;sim;;não;;não;0,0;sim
10/09/2016;8,0;sim;16,0;sim;24,0;sim;;não;;não;0,0;sim
09/09/2016;7,6;não;14,8;sim;22,0;sim;66,0;não;68,0;não;0,0;não
08/09/2016;7,8;não;15,4;sim;23,0;sim;58,0;não;80,0;não;0,0;não
07/09/2016;11,0;sim;16,5;sim;22,0;sim;;não;;não;2,73;sim
06/09/2016;12,6;não;13,8;sim;15,0;sim;92,0;não;78,0;não;0,0;não
05/09/2016;11,0;sim;17,0;sim;23,0;sim;62,0;não;92,0;não;2,3;não
04/09/2016;11,0;sim;15,0;sim;19,0;sim;;não;;não;0,0;sim
03/09/2016;12,0;sim;17,0;sim;22,0;sim;;não;;não;0,0;sim
02/09/2016;8,0;não;15,5;sim;23,0;sim;53,0;não;92,0;não;0,0;não
01/09/2016;11,2;não;16,6;sim;22,0;sim;70,0;não;92,0;não;5,7;não
31/08/2016;12,6;não;14,8;sim;17,0;sim;94,0;não;85,0;não;0,0;não
30/08/2016;9,0;não;17,0;sim;25,0;sim;55,0;não;69,0;não;0,0;não
29/08/2016;8,0;sim;15,5;sim;23,0;sim;59,0;não;76,0;não;0,0;não
28/08/2016;7,0;sim;15,0;sim;23,0;sim;;não;;não;0,0;sim
27/08/2016;6,0;sim;14,5;sim;23,0;sim;;não;;não;0,0;sim
26/08/2016;3,2;não;12,6;sim;22,0;sim;57,0;não;78,0;não;0,0;não
25/08/2016;4,6;não;13,8;sim;23,0;sim;43,0;não;96,0;não;0,0;não
24/08/2016;2,4;não;11,2;sim;20,0;sim;69,0;não;95,0;não;0,0;não
23/08/2016;2,0;não;10,0;sim;18,0;sim;76,0;não;95,0;não;0,0;não
22/08/2016;4,0;sim;7,0;sim;10,0;sim;88,0;não;97,0;não;36,2;não
21/08/2016;6,0;sim;11,5;sim;17,0;sim;;não;;não;30,78;sim
20/08/2016;14,0;sim;15,5;sim;17,0;sim;;não;;não;0,0;sim
19/08/2016;9,6;não;16,8;sim;24,0;sim;55,0;não;86,0;não;0,0;não
18/08/2016;10,2;não;17,6;sim;25,0;sim;64,0;não;96,0;não;0,0;não
17/08/2016;8,6;não;15,8;sim;23,0;sim;60,0;não;78,0;não;0,0;não
16/08/2016;8,4;não;14,2;sim;20,0;sim;67,0;não;81,0;não;8,6;não
15/08/2016;8,0;sim;16,0;sim;24,0;sim;44,0;não;58,0;não;0,0;não
14/08/2016;6,0;sim;15,0;sim;24,0;sim;;não;;não;0,0;sim
13/08/2016;3,0;sim;12,5;sim;22,0;sim;;não;;não;0,0;sim
12/08/2016;2,0;não;10,0;sim;18,0;sim;65,0;não;83,0;não;0,0;não
11/08/2016;1,4;não;5,7;sim;10,0;sim;84,0;não;88,0;não;0,0;não
10/08/2016;10,0;não;13,0;sim;16,0;sim;91,0;não;95,0;não;0,2;não
09/08/2016;11,4;não;17,2;sim;23,0;sim;68,0;não;67,0;não;0,0;não
08/08/2016;10,0;sim;17,0;sim;24,0;sim;48,0;não;63,0;não;0,0;não
07/08/2016;8,0;sim;15,5;sim;23,0;sim;;não;;não;0,0;sim
06/08/2016;8,0;sim;14,5;sim;21,0;sim;;não;;não;0,0;sim
05/08/2016;5,8;não;13,4;sim;21,0;sim;68,0;não;94,0;não;0,0;não
04/08/2016;6,2;não;12,1;sim;18,0;sim;82,0;não;93,0;não;0,0;não
03/08/2016;7,0;não;15,0;sim;23,0;sim;64,0;não;93,0;não;0,0;não
02/08/2016;7,2;não;13,6;sim;20,0;sim;71,0;não;76,0;não;0,0;não
01/08/2016;9,0;sim;14,5;sim;20,0;sim;57,0;não;75,0;não;0,0;não
31/07/2016;6,0;sim;13,0;sim;20,0;sim;;não;;não;0,0;sim
30/07/2016;6,0;sim;12,5;sim;19,0;sim;;não;;não;0,0;sim
29/07/2016;8,0;não;14,0;sim;20,0;sim;67,0;não;88,0;não;0,0;não
28/07/2016;6,8;não;13,4;sim;20,0;sim;70,0;não;95,0;não;0,0;não
27/07/2016;8,8;não;15,4;sim;22,0;sim;51,0;não;59,0;não;0,0;não
26/07/2016;7,6;não;13,8;sim;20,0;sim;47,0;não;86,0;não;0,0;não
25/07/2016;7,0;sim;13,5;sim;20,0;sim;72,0;não;95,0;não;0,0;não
24/07/2016;9,0;sim;15,5;sim;22,0;sim;;não;;não;0,0;sim
23/07/2016;5,0;sim;12,5;sim;20,0;sim;;não;;não;0,0;sim
22/07/2016;2,0;não;9,5;sim;17,0;sim;74,0;não;92,0;não;0,0;não
21/07/2016;5,2;não;10,6;sim;16,0;sim;74,0;não;90,0;não;0,0;não
20/07/2016;4,4;não;11,2;sim;18,0;sim;43,0;não;68,0;não;0,0;não
19/07/2016;0,6;não;9,8;sim;19,0;sim;88,0;não;76,0;não;0,0;não
18/07/2016;-1,0;sim;8,5;sim;18,0;sim;47,0;não;52,0;não;0,0;não
17/07/2016;5,0;sim;11,0;sim;17,0;sim;;não;;não;0,0;sim
16/07/2016;13,0;sim;17,0;sim;21,0;sim;;não;;não;0,0;sim
15/07/2016;10,8;não;16,9;sim;23,0;sim;49,0;não;54,0;não;0,0;não
14/07/2016;7,6;não;14,3;sim;21,0;sim;48,0;não;86,0;não;0,0;não
13/07/2016;7,2;não;15,1;sim;23,0;sim;64,0;não;83,0;não;0,0;não
12/07/2016;12,4;não;17,2;sim;22,0;sim;50,0;não;60,0;não;0,0;não
11/07/2016;8,0;sim;14,5;sim;21,0;sim;56,0;não;89,0;não;0,0;não
10/07/2016;9,0;sim;15,0;sim;21,0;sim;;não;;não;0,0;sim
09/07/2016;2,0;sim;11,0;sim;20,0;sim;;não;;não;0,0;sim
08/07/2016;2,2;não;10,6;sim;19,0;sim;47,0;não;62,0;não;0,0;não
07/07/2016;12,0;não;16,0;sim;20,0;sim;34,0;não;71,0;não;0,0;não
