estacao=ITAPIRA (9000428)
municipio=Itapira (3522604)
latitude=-22.415
longitude=-46.8053
altitude=634.0m 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; precipitacao ; precipitacao Estimada
30/09/2016;14,5;não;22,9;não;31,3;não;18,0;não;82,0;não;0,0;não
29/09/2016;13,4;não;22,85;não;32,3;não;14,0;não;91,0;não;0,0;não
28/09/2016;11,8;não;21,8;não;31,8;não;24,0;não;90,0;não;0,0;não
27/09/2016;10,3;não;19,8;não;29,3;não;19,0;não;92,0;não;0,0;não
26/09/2016;11,2;não;19,9;não;28,6;não;23,0;não;92,0;não;0,0;não
25/09/2016;13,7;não;19,95;não;26,2;não;46,0;não;91,0;não;0,0;não
24/09/2016;15,5;não;23,1;não;30,7;não;31,0;não;86,0;não;0,0;não
23/09/2016;10,6;não;21,4;não;32,2;não;24,0;não;90,0;não;0,0;não
22/09/2016;9,5;não;19,6;não;29,7;não;21,0;não;85,0;não;0,0;não
21/09/2016;8,5;não;16,75;não;25,0;não;31,0;não;88,0;não;0,0;não
20/09/2016;16,9;não;21,45;não;26,0;não;43,0;não;91,0;não;0,0;não
19/09/2016;16,7;não;24,95;não;33,2;não;27,0;não;90,0;não;0,2;não
18/09/2016;18,0;sim;26,0;sim;34,0;sim;;não;;não;0,0;sim
17/09/2016;17,3;não;24,85;não;32,4;não;33,0;não;93,0;não;0,6;não
16/09/2016;13,7;não;22,35;não;31,0;não;22,0;não;85,0;não;0,0;não
15/09/2016;13,3;não;21,3;não;29,3;não;18,0;não;88,0;não;0,0;não
14/09/2016;14,9;não;23,25;não;31,6;não;27,0;não;82,0;não;0,0;não
13/09/2016;15,7;não;24,85;não;34,0;não;15,0;não;81,0;não;0,0;não
12/09/2016;15,2;não;24,15;não;33,1;não;17,0;não;88,0;não;0,0;não
11/09/2016;14,6;não;23,45;não;32,3;não;19,0;não;94,0;não;0,0;não
10/09/2016;13,4;não;22,35;não;31,3;não;26,0;não;94,0;não;0,0;não
09/09/2016;11,0;não;20,35;não;29,7;não;20,0;não;92,0;não;0,0;não
08/09/2016;12,1;não;19,65;não;27,2;não;29,0;não;96,0;não;0,0;não
07/09/2016;15,6;não;19,25;não;22,9;não;64,0;não;95,0;não;0,0;não
06/09/2016;16,5;não;19,1;não;21,7;não;64,0;não;93,0;não;0,0;não
05/09/2016;16,5;não;23,1;não;29,7;não;29,0;não;94,0;não;0,0;não
04/09/2016;14,3;não;19,65;não;25,0;não;47,0;não;94,0;não;0,0;não
03/09/2016;18,0;não;24,1;não;30,2;não;32,0;não;91,0;não;0,0;não
02/09/2016;12,8;não;22,2;não;31,6;não;28,0;não;95,0;não;0,0;não
01/09/2016;15,8;não;21,85;não;27,9;não;22,0;não;95,0;não;0,0;não
31/08/2016;16,3;não;20,35;não;24,4;não;55,0;não;93,0;não;0,0;não
30/08/2016;16,8;não;23,95;não;31,1;não;26,0;não;76,0;não;0,0;não
29/08/2016;15,1;não;23,85;não;32,6;não;22,0;não;80,0;não;0,0;não
28/08/2016;13,6;não;22,85;não;32,1;não;21,0;não;78,0;não;0,0;não
27/08/2016;11,2;não;20,8;não;30,4;não;15,0;não;87,0;não;0,0;não
26/08/2016;10,3;não;20,1;não;29,9;não;19,0;não;93,0;não;0,2;não
25/08/2016;10,9;não;20,45;não;30,0;não;21,0;não;93,0;não;0,0;não
24/08/2016;10,2;não;19,15;não;28,1;não;30,0;não;94,0;não;0,0;não
23/08/2016;8,5;não;17,45;não;26,4;não;26,0;não;92,0;não;0,0;não
22/08/2016;9,8;não;15,3;não;20,8;não;39,0;não;85,0;não;0,0;não
21/08/2016;14,5;não;17,95;não;21,4;não;65,0;não;94,0;não;0,2;não
20/08/2016;16,6;não;20,35;não;24,1;não;52,0;não;94,0;não;0,0;não
19/08/2016;15,5;não;24,3;não;33,1;não;17,0;não;88,0;não;0,0;não
18/08/2016;16,5;não;24,55;não;32,6;não;24,0;não;87,0;não;0,0;não
17/08/2016;14,3;não;22,05;não;29,8;não;33,0;não;91,0;não;0,0;não
16/08/2016;14,5;não;19,8;não;25,1;não;47,0;não;91,0;não;0,0;não
15/08/2016;13,5;não;22,9;não;32,3;não;20,0;não;89,0;não;0,0;não
14/08/2016;9,7;não;20,8;não;31,9;não;11,0;não;79,0;não;0,0;não
13/08/2016;6,2;não;17,6;não;29,0;não;14,0;não;92,0;não;0,0;não
12/08/2016;5,7;não;15,8;não;25,9;não;14,0;não;92,0;não;0,0;não
11/08/2016;5,3;não;13,4;não;21,5;não;36,0;não;94,0;não;0,0;não
10/08/2016;14,8;não;18,3;não;21,8;não;52,0;não;86,0;não;0,0;não
09/08/2016;14,8;não;21,35;não;27,9;não;37,0;não;91,0;não;0,0;não
08/08/2016;13,2;não;21,65;não;30,1;não;28,0;não;92,0;não;0,0;não
07/08/2016;13,0;não;22,35;não;31,7;não;21,0;não;82,0;não;0,0;não
06/08/2016;12,0;não;20,75;não;29,5;não;22,0;não;89,0;não;0,0;não
05/08/2016;13,0;não;21,05;não;29,1;não;27,0;não;88,0;não;0,0;não
04/08/2016;11,4;não;19,6;não;27,8;não;30,0;não;93,0;não;0,0;não
