,Data,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmed,prec,irrigacao,ano,mes
2000-12-21,,4.870491194399103,0,5.5,0.4,0.9375695549218273,5.5,0,0,0,0,0,0.9375695549218273,3.409343836079372,3.409343836079372,0,4.5624304450781725,4.5624304450781725,0,27.499999999999996,1,24.65,5.5,0,2000,12
2000-12-22,,4.830202714708987,0,3.43125,0.4181818181818182,1.3513883945216456,7.993680445078173,0,39.96840222539087,0.7993680445078173,1.0,2.0199029534237583,0.7993680445078173,2.0199029534237583,0.0,0.0,7.194312400570356,7.194312400570356,1.915171972887245,39.57457674651544,1,25.159374999999997,3.43125,0,2000,12
2000-12-23,,4.78991423501887,0,7.55,0.4363636363636364,2.4718397148570013,14.744312400570355,0,69.72472178031269,2.193862480114071,1.0,2.0901443934627797,2.4718397148570013,3.3529399645132085,0.0,0,12.272472685713353,12.272472685713353,1.9827515049119706,73.72156200285177,1,25.059375,7.55,0,2000,12
2000-12-24,,4.749625755328753,0,6.18125,0.4545454545454546,3.067689679241552,18.453722685713352,0,81.2993010279964,3.819848500673999,1.0,2.158920797876706,3.067689679241552,3.324738028730127,0.0,0.7521588214324471,15.3860330064718,15.3860330064718,2.0490531477471663,92.26861342856677,1,25.15,6.18125,0,2000,12
2000-12-25,,4.709337275638637,0,11.45625,0.4727272727272727,3.2965360929470457,20.0,6.842283006471803,80.90075749663,5.437863650606599,1.0,2.2262321666655374,3.2965360929470457,3.2965360929470457,0.0,2.141327557659553,16.703463907052953,16.703463907052953,2.114080442836316,100.0,1,25.021875,11.45625,0,2000,12
2000-12-26,,4.66904879594852,0,2.4875,0.4909090909090909,3.136124142316098,20.0,0,72.810681746967,6.894077285545939,0.88264766125508,2.292078499829273,3.136124142316098,3.2683341571639635,0.8090360929470455,2.9489170502827955,16.054839764736855,16.054839764736855,2.148541522311624,95.95481953526478,1,25.312500000000004,2.4875,0,2000,12
2000-12-27,,4.628760316258402,0,11.525000000000002,0.509090909090909,3.2401322213808816,20.0,7.579839764736857,65.52961357227029,8.204669556991345,1.0,2.3564597973679136,3.2401322213808816,3.2401322213808816,0.0,4.964537335610463,16.759867778619117,16.759867778619117,2.2403261555503793,100.0,1,24.840624999999996,11.525000000000002,0,2000,12
2000-12-28,,4.588471836568286,0,6.14625,0.5272727272727272,3.2119302855978,20.0,2.9061177786191195,58.97665221504328,9.38420260129221,1.0,2.4193760592814595,3.2119302855978,3.2119302855978,0.0,6.172272315694411,16.7880697144022,16.7880697144022,2.301551656062266,100.0,1,25.58875,6.14625,0,2000,12
2000-12-29,,4.548183356878169,0,7.406249999999999,0.5454545454545454,3.183728349814718,20.0,4.1943197144022015,53.07898699353895,10.445782341162989,1.0,2.48082728556991,3.183728349814718,3.183728349814718,0.0,7.262053991348271,16.816271650185282,16.816271650185282,2.361516974602028,100.0,1,24.931250000000002,7.406249999999999,0,2000,12
2000-12-30,,4.507894877188052,0,4.6400000000000015,0.5636363636363636,3.1555264140316366,20.0,1.4562716501852826,47.771088294185056,11.40120410704669,1.0,2.5408134762332657,3.1555264140316366,3.1555264140316366,0.0,8.245677693015054,16.844473585968363,16.844473585968363,2.4202256526131474,100.0,1,25.06875,4.6400000000000015,0,2000,12
2000-12-31,,4.467606397497936,0,5.999999999999999,0.6,3.1273244782485548,20.0,2.8444735859683625,42.993979464766554,12.26108369634202,1.0,2.6805638384987613,3.1273244782485548,3.1273244782485548,0.0,9.133759218093465,16.872675521751447,16.872675521751447,2.555108770024705,100.0,2,25.495625,5.999999999999999,0,2000,12
2001-01-01,,4.427317917807819,0,6.2875,0.62,3.099122542465473,20.0,3.160175521751448,38.6945815182899,13.034975326707817,1.0,2.7449371090408476,3.099122542465473,3.099122542465473,0.0,9.935852784242345,16.900877457534527,16.900877457534527,2.618350161250835,99.99999999999999,2,24.75,6.2875,0,2001,1
2001-01-02,,4.424507128894633,0,8.375,0.64,3.097154990226243,20.0,5.275877457534527,34.825123366460915,13.731477794037035,1.0,2.831684562492565,3.097154990226243,3.097154990226243,0.0,10.634322803810793,16.902845009773756,16.902845009773756,2.701235364415377,99.99999999999999,2,24.962500000000002,8.375,0,2001,1
2001-01-03,,4.421696339981447,0,15.543750000000001,0.66,3.095187437987013,20.0,12.446595009773759,31.342611029814822,14.358330014633331,1.0,2.9183195843877554,3.095187437987013,3.095187437987013,0.0,11.263142576646318,16.904812562012985,16.904812562012985,2.7840221695750977,100.0,2,25.259375000000002,15.543750000000001,0,2001,1
2001-01-04,,4.418885551068262,0,6.23125,0.68,3.093219885747783,20.0,3.1360625620129845,28.208349926833343,14.922497013169998,1.0,3.0048421747264182,3.093219885747783,3.093219885747783,0.0,11.829277127422216,16.906780114252218,16.906780114252218,2.8667105956912704,100.0,2,24.387500000000003,6.23125,0,2001,1
2001-01-05,,4.416074762155075,0,9.4875,0.7000000000000001,3.091252333508552,20.0,6.3942801142522185,25.38751493415001,15.430247311852998,1.0,3.0912523335085527,3.091252333508552,3.091252333508552,0.0,12.338994978344445,16.908747666491447,16.908747666491447,2.949300661725187,100.0,2,25.099999999999998,9.4875,0,2001,1
2001-01-06,,4.4132639732418895,0,4.3625,0.72,3.0892847812693223,20.0,1.2712476664914476,22.84876344073501,15.887222580667698,1.0,3.1775500607341605,3.0892847812693223,3.0892847812693223,0.0,12.797937799398376,16.91071521873068,16.91071521873068,3.031792386638121,100.0,2,25.340625,4.3625,0,2001,1
2001-01-07,,4.410453184328704,0,3.0,0.74,3.0735347068549443,20.0,0,20.56388709666151,16.29850032260093,0.9945219020460727,3.2637353564032408,3.1126180748797445,3.2637353564032408,0.08928478126932404,13.096597466451861,16.798097143850935,16.798097143850935,3.1126180748797445,95.36980591189743,2,25.484375000000004,3.0,0,2001,1
2001-01-08,,4.407642395415518,0,12.600000000000001,0.76,3.0853496767908624,20.0,9.398097143850936,18.50749838699535,16.668650290340835,1.0,3.349808220515794,3.196480888946189,3.349808220515794,0.0,13.472169401394646,16.80351911105381,16.80351911105381,3.196480888946189,95.42280269567205,2,25.596875,12.600000000000001,0,2001,1
2001-01-09,,4.4048316065023325,0,15.299999999999999,0.78,3.0833821245516324,20.0,12.103519111053807,16.656748548295823,17.00178526130675,1.0,3.4357686530718197,3.2786777042638864,3.4357686530718197,0.0,13.723107557042864,16.721322295736115,16.721322295736115,3.2786777042638864,95.42777862335163,2,25.228750000000005,15.299999999999999,0,2001,1
2001-01-10,,4.402020817589147,0,9.66125,0.8,3.0814145723124025,20.0,6.382572295736118,14.991073693466248,17.301606735176076,1.0,3.521616654071318,3.360776254305732,3.521616654071318,0.0,13.940830480870344,16.639223745694267,16.639223745694267,3.360776254305732,95.43276808452053,2,25.363750000000003,9.66125,0,2001,1
2001-01-11,,4.399210028675961,0,13.525,0.8200000000000001,3.0794470200731725,20.0,10.164223745694265,13.49196632411962,17.57144606165847,1.0,3.6073522235142885,3.442776558033008,3.6073522235142885,0.0,14.128669503625462,16.557223441966993,16.557223441966993,3.442776558033008,95.43777110511958,2,25.001250000000002,13.525,0,2001,1
2001-01-12,,4.4457701488741055,0,6.725,0.8400000000000001,3.1120391042118736,20.0,3.282223441966991,12.142769691707649,17.814301455492622,1.0,3.734446925054249,3.5610427007771897,3.734446925054249,0.0,14.253258754715432,16.43895729922281,16.43895729922281,3.5610427007771897,95.35662903350702,2,25.268750000000004,6.725,0,2001,1
2001-01-13,,4.4923302690722515,0,8.7225,0.86,3.144631188350576,20.0,5.1614572992228105,10.928492722536891,18.03287130994336,1.0,3.863404031402136,3.681016559419961,3.863404031402136,0.0,14.3518547505234,16.318983440580038,16.318983440580038,3.681016559419961,95.27909919594971,2,24.8275,8.7225,0,2001,1
2001-01-14,,4.538890389270397,0,10.518749999999999,0.88,3.1772232724892775,20.0,6.837733440580038,9.8356434502832,18.229584178949025,1.0,3.994223542557949,3.8027033367888383,3.994223542557949,0.0,14.426880842160188,16.197296663211162,16.197296663211162,3.8027033367888383,95.20507042912128,2,24.784374999999997,10.518749999999999,0,2001,1
2001-01-15,,4.585450509468542,0,7.837499999999999,0.9,3.209815356627979,20.0,4.034796663211161,8.852079105254873,18.406625761054123,1.0,4.126905458521688,3.9261082357113133,4.126905458521688,0.0,14.48051752534281,16.073891764288685,16.073891764288685,3.9261082357113133,95.1344360846516,2,25.16875,7.837499999999999,0,2001,1
2001-01-16,,4.632010629666687,0,3.3225,0.92,3.14455024902776,20.0,0,7.966871194729386,18.56596318494871,0.9674884502517676,4.261449779293352,4.042436392716625,4.261449779293352,0.6036082357113131,13.919918556520773,15.353955371572063,15.353955371572063,4.042436392716625,94.86058975419758,2,25.109375,3.3225,0,2001,1
