mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,314.1086666666667,134.2845023645851,179.82416430208158,100.0,0.0,0.0,134.2845023645851,0.0,179.82416430208158
2,253.54999999999993,123.33066813434954,130.2193318656504,100.0,0.0,0.0,123.33066813434954,0.0,130.2193318656504
3,328.104,131.68709073017573,196.41690926982426,100.0,0.0,0.0,131.68709073017573,0.0,196.41690926982426
4,212.19266666666667,125.46079954999293,86.73186711667374,100.0,0.0,0.0,125.46079954999293,0.0,86.73186711667374
5,144.88466666666667,112.41524020872961,32.46942645793706,100.0,0.0,0.0,112.41524020872961,0.0,32.46942645793706
6,74.82600000000001,102.43906874771585,-27.613068747715843,75.87137698933681,-27.613068747715843,-24.12862301066319,98.9546230106632,3.4844457370526527,0.0
7,53.67399999999999,104.92274287801824,-51.24874287801825,45.447238955793885,-78.86181162573409,-30.424138033542924,84.09813803354291,20.82460484447533,0.0
8,70.22,133.33554809632372,-63.11554809632372,24.176874781766962,-141.97735972205783,-21.270364174026923,91.49036417402692,41.8451839222968,0.0
9,102.70133333333334,142.1465543492324,-39.44522101589905,16.296402511021686,-181.42258073795688,-7.880472270745276,110.58180560407861,31.56474874515378,0.0
10,163.116,161.21499263072877,1.901007369271241,18.197409880292927,-170.38909163025977,1.901007369271241,161.21499263072877,0.0,0.0
11,282.4213333333334,152.63714923007979,129.7841841032536,100.0,0.0,81.80259011970708,152.63714923007979,0.0,47.98159398354653
12,276.13199999999995,154.4557130244342,121.67628697556574,100.0,0.0,0.0,154.4557130244342,0.0,121.67628697556574
