,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmed,prec,irrigacao,ano,mes
2000-07-21,3.3278126761837266,0,0.0,0.4,0.0,0,0,0,0,0,0,0.0,2.3294688733286084,2.3294688733286084,0,0.0,0.0,0,0.0,1,15.6,0.0,0,2000,7
2000-07-22,3.3524053409521324,0,0.0,0.4181818181818182,0.0,0,0,0.0,0,0,1.4019149607618009,0.0,1.4019149607618009,0.0,0.0,0.0,0.0,0.23601334287100084,0.0,1,16.25,0.0,0,2000,7
2000-07-23,3.376998005720538,0,0.0,0.4363636363636364,0.0,0,0,0.0,0,0,1.4735991297689623,0.0,1.4735991297689623,0.0,0.0,0.0,0.0,0.24573822532973374,0.0,1,15.75,0.0,0,2000,7
2000-07-24,3.401590670488943,0,0.0,0.4545454545454546,0.0,0,0,0.0,0,0,1.5461775774949742,0.0,1.5461775774949742,0.0,0.0,0.0,0.0,0.255418393852524,0.0,1,12.0,0.0,0,2000,7
2000-07-25,3.426183335257349,0,0.0,0.4727272727272727,0.0,0,0,0.0,0,0,1.6196503039398376,0.0,1.6196503039398376,0.0,0.0,0.0,0.0,0.2650538484393717,0.0,1,14.2,0.0,0,2000,7
2000-07-26,3.450776000025755,0,0.0,0.4909090909090909,0.0,0,0,0.0,0,0,1.6940173091035524,0.0,1.6940173091035524,0.0,0.0,0.0,0.0,0.2746445890902769,0.0,1,14.65,0.0,0,2000,7
2000-07-27,3.4753686647941606,0,0.0,0.509090909090909,0.0,0,0,0.0,0,0,1.769278592986118,0.0,1.769278592986118,0.0,0.0,0.0,0.0,0.28419061580523947,0.0,1,15.8,0.0,0,2000,7
2000-07-28,3.4999613295625664,0,0.0,0.5272727272727272,0.0,0,0,0.0,0,0,1.8454341555875349,0.0,1.8454341555875349,0.0,0.0,0.0,0.0,0.2936919285842595,0.0,1,16.5,0.0,0,2000,7
2000-07-29,3.5245539943309723,0,0.0,0.5454545454545454,0.0,0,0,0.0,0,0,1.922483996907803,0.0,1.922483996907803,0.0,0.0,0.0,0.0,0.3031485274273371,0.0,1,16.35,0.0,0,2000,7
2000-07-30,3.549146659099377,0,0.0,0.5636363636363636,0.0,0,0,0.0,0,0,2.000428116946922,0.0,2.000428116946922,0.0,0.0,0.0,0.0,0.31256041233447207,0.0,1,25.4,0.0,0,2000,7
2000-07-31,3.573739323867783,0,0.0,0.6,0.0,0,0,0.0,0,0,2.14424359432067,0.0,2.14424359432067,0.0,0.0,0.0,0.0,0.33198782028396645,0.0,2,24.95,0.0,0,2000,7
2000-08-01,3.598331988636189,0,1.0,0.62,0.1259416196022666,1.0,0,5.0,0.1,1.0,2.2309658329544373,0.1,2.2309658329544373,0.0,0.0,0.9,0.9,2.1760711975135925,4.482363580959524,2,25.75,1.0,0,2000,8
2000-08-02,3.6421748040108746,0,0.0,0.64,0.11472850632634254,1.0,0,4.5,0.19,0.47368421052631576,2.3309918745669598,0.09,2.3309918745669598,0.1,0.0,0.81,0.81,1.9584218185059066,3.861017319793093,2,25.05,0.0,0,2000,8
2000-08-03,3.6860176193855603,0,1.1,0.66,0.24641027785592473,1.9100000000000001,0,8.600000000000001,0.36200000000000004,1.0,2.43277162879447,0.36200000000000004,2.43277162879447,0.0,0.0,1.548,1.548,2.365404921909681,14.880147224480115,2,25.75,1.1,0,2000,8
2000-08-04,3.7298604347602455,0,0.0,0.68,0.20208383835531013,1.9100000000000001,0,7.74,0.5168,0.29953560371517024,2.5363050956369673,0.1548,2.5363050956369673,0.36200000000000004,0.0,1.3932,1.3932,1.7231912722965799,6.103366675653173,2,22.85,0.0,0,2000,8
2000-08-05,3.7737032501349312,0,0.0,0.7000000000000001,0.1840133178830795,1.9100000000000001,0,6.966000000000001,0.65612,0.2123392062427605,2.6415922750944523,0.13932000000000003,2.6415922750944523,0.5168,0.0,1.2538799999999999,1.2538799999999999,1.4774936230072424,5.274091740558959,2,24.8,0.0,0,2000,8
2000-08-06,3.8175460655096174,0,0.0,0.72,0.16753606312174193,1.9100000000000001,0,6.2694,0.7815080000000001,0.16044365508734393,2.7486331671669246,0.125388,2.7486331671669246,0.65612,0.0,1.1284919999999998,1.1284919999999998,1.2964903351869008,4.561831003779966,2,24.95,0.0,0,2000,8
2000-08-07,3.861388880884303,0,0.0,0.74,0.15251412613384108,1.9100000000000001,0,5.642460000000001,0.8943572000000001,0.12617911501131765,2.8574277718543843,0.11284920000000002,2.8574277718543843,0.7815080000000001,0.0,1.0156427999999997,1.0156427999999997,1.1614962573906817,3.9493281724060627,2,26.6,0.0,0,2000,8
2000-08-08,3.9052316962589884,0,0.0,0.76,0.13882121591230295,1.9100000000000001,0,5.078214000000001,0.9959214800000001,0.10198020831923417,2.967976089156831,0.10156428000000002,2.967976089156831,0.8943572000000001,0.0,0.9140785199999997,0.9140785199999997,1.0584770975737134,3.422004657350636,2,26.6,0.0,0,2000,8
2000-08-09,3.949074511633674,0,0.0,0.78,0.12634174647373406,1.9100000000000001,0,4.5703926,1.0873293320000001,0.08406639029213643,3.080278119074266,0.091407852,3.080278119074266,0.9959214800000001,0.0,0.8226706679999997,0.8226706679999997,0.978148268629411,2.9675194403377883,2,24.9,0.0,0,2000,8
2000-08-10,3.9929173270083593,0,20.3,0.8,2.7950421289058514,20,1.1226706680000014,94.56335334,2.9785963988,1.0,3.1943338616066876,2.9785963988,3.1943338616066876,0.0,0.0,17.0214036012,17.0214036012,3.076727923609855,93.24624562887188,2,20.0,20.3,0,2000,8
2000-08-11,4.036760142383045,0,15.5,0.8200000000000001,2.8257320996681314,20,12.5214036012,85.107018006,4.68073675892,1.0,3.3101433167540972,3.184585413860838,3.3101433167540972,0.0,1.4961513450591624,16.815414586139163,16.815414586139163,3.184585413860838,96.20687411757203,2,17.1,15.5,0,2000,8
2000-08-12,4.082590686778969,0,14.5,0.8400000000000001,2.8578134807452784,20,11.315414586139163,76.5963162054,6.212663083028,1.0,3.4293761768943347,3.295458108651042,3.4293761768943347,0.0,2.9172049743769577,16.70454189134896,16.70454189134896,3.295458108651042,96.09497292406779,2,14.0,14.5,0,2000,8
2000-08-13,4.128421231174895,0,13.3,0.86,2.8898948618224263,20,10.00454189134896,68.93668458486,7.5913967747252,1.0,3.5504422588104094,3.407984005193953,3.5504422588104094,0.0,4.183412769531246,16.592015994806047,16.592015994806047,3.407984005193953,95.9875913130837,2,10.0,13.3,0,2000,8
2000-08-14,4.17425177557082,0,14.1,0.88,2.9219762428995737,20,10.692015994806049,62.04301612637399,8.832257097252679,1.0,3.6733415625023214,3.5221681445426922,3.6733415625023214,0.0,5.310088952709987,16.477831855457307,16.477831855457307,3.5221681445426922,95.88458041847196,2,15.7,14.1,0,2000,8
