,latitude,longitude,dec1,dec2,dec3,dec4
0,-23.2283,-45.4172,100,96.6366935845421,97.26529510882996,98.195045169059
0,-23.4256,-47.5852,0,95.41253473349066,96.15744995197616,92.77218438733459
0,-22.75,-45.6039,0,100.0,100.0,100.0
0,-20.4069,-49.9653,100,95.62361748562148,96.58864554846818,96.19884806269437
0,-22.75,-45.6,0,100.0,100.0,100.0
0,-23.5,-46.62,100,97.35016722699406,97.62896335160542,97.33904727880213
0,-21.12,-48.93,100,92.75108145451047,96.14106435142142,95.21791440267009
0,-20.42,-49.98,100,94.80277344624888,96.4760817078309,96.14266933963717
0,-23.48,-47.43,100,93.90575898688554,96.69000196350767,95.04194542496127
0,-21.97,-47.87,100,97.77237343322086,98.20109653229576,97.70298744323668
0,-21.48,-47.55,100,96.45843489722445,96.6196988066337,95.9049625326929
0,-24.71,-47.55,100,93.7841660761745,96.16377079042756,94.13598544717888
0,-24.6717,-47.5461,100,94.18200484833953,81.54200669077781,93.64983643504415
0,-22.4711,-48.5575,100,98.78607636430353,96.48970134955898,93.69825980293905
0,-22.31,-49.06,100,95.90683139281464,96.57084865036624,94.89890087744122
0,-23.0419,-45.5302,100,96.06738940324925,96.13393075721467,96.8931110238648
0,-21.3383,-48.1139,0,73.8970713889776,93.95369302312355,88.10610028202996
0,-23.4964,-46.62,100,97.28938873745157,97.95644325784635,97.55577920750477
0,-22.3725,-50.9742,100,81.46814445802136,94.56068357165799,89.89078079568026
0,-21.98,-47.8836,100,97.93890272350782,98.4454148281526,98.0715531935189
0,-22.3166,-49.0666,100,92.10729075220802,94.76505123629697,96.02029594669918
0,-22.1166,-51.4,100,82.95635690864862,95.55639779361402,93.90974813970145
0,-22.415,-46.8053,100,95.88705557002764,96.61172482505819,96.40445149022976
0,-23.9814,-48.8853,100,98.42598404110575,98.48976624191276,96.68072206152229
0,-21.3192,-50.9303,100,90.94570001366371,95.21634288622468,91.72485898424216
0,-22.7027,-47.623,0,89.11177059753953,90.51544427185695,86.88282103989476
0,-21.1328,-48.8403,0,66.83724072257343,85.13457570736342,81.50941176628214
0,-22.9486,-49.8942,0,84.09932866447946,92.39383485425793,93.43985619276368
0,-21.7797,-47.075,0,90.29835640835549,90.70757723264005,82.14465900460466
0,-21.0956,-49.9203,100,93.94056613789712,95.65212146177988,95.2406232697675
0,-21.6655,-49.7344,100,94.60719738139102,96.08221482571615,95.99821658152281
0,-23.0997,-48.9455,100,97.50653539499865,98.27776578386546,97.12478200062175
0,-20.5586,-48.545,100,95.79017172884227,93.94233383702858,93.30587711524106
0,-21.8556,-48.8,100,92.44856798379668,96.17892366144848,95.43798463686713
0,-20.165,-50.595,100,94.79922502090977,95.57651805347115,94.98078006875609
0,-20.3594,-47.775,0,95.24989102999561,88.56602455252678,80.91161746286636
0,-20.5844,-47.3825,100,99.52074388604875,99.11075586384291,98.58379924855649
0,-22.12,-51.38,100,85.2396946214012,95.74659102939621,94.46467240730041
0,-20.58,-47.37,100,98.6366681024402,98.80229203069892,98.23943707840868
0,-23.65,-46.62,100,96.76352974749476,98.51542184111369,98.89510866413885
0,-23.43,-46.47,100,97.40877621665679,98.42538038372895,98.60372655053665
0,-23.8516,-48.1645,0,96.80281325612239,97.98488877064091,93.24504063987537
0,-23.45,-45.06,100,95.1060925813172,90.42467128788014,94.32348636915391
0,-23.08,-48.9455,100,96.81910867118177,97.9767089288994,96.4966907716719
0,-23.03,-45.55,100,96.68494309490288,95.39033835414777,95.73511150605972
0,-22.8,-45.19,100,96.1206205364144,95.9199590773973,97.01650899485263
0,-22.72,-45.57,0,100.0,100.0,100.0
0,-22.17,-51.37,100,83.74309899086502,95.4451414597678,91.96604275188766
0,-22.54,-44.77,100,96.26275923652139,96.8126437423229,97.17619901435395
0,-23.07,-44.95,100,99.19479073047914,99.64047468378944,98.91443152986868
0,-22.68,-45.0,100,96.53380717201483,95.9570176628649,97.48003237267726
0,-22.58,-44.97,100,96.50888949911153,97.41895003377896,97.58549694675348
0,-20.58,-48.59,100,92.15750127672943,94.07143077838313,95.46487881794211
0,-20.4,-49.97,100,95.69941159680785,96.6851347721477,96.38559655629896
0,-20.19,-48.01,100,96.74431875430392,96.15213875936011,97.91011450139627
0,-22.18,-48.62,100,96.73809692712186,97.81879363902193,97.9733573161333
0,-22.64,-44.58,100,97.72722935161447,96.92966556590031,96.97045344115276
0,-21.24,-48.3,100,96.62244936524058,98.77040128987315,98.19239082549475
0,-22.8,-44.84,100,99.97446690278011,100.0,99.99778832741526
0,-24.67,-47.54,100,94.49380229364408,96.10959685478097,96.24881030983966
0,-23.69,-45.42,100,88.84397649896836,88.48174485175215,88.43170508703508
0,-22.8156,-47.0578,100,96.74906474120993,96.51474335460573,96.17816170350707
0,-22.77,-47.15,100,93.33618620828362,95.4336177814128,95.58798953726512
0,-22.5622,-47.4224,100,96.03920425726467,94.79248778891235,95.9600557326168
0,-22.92,-46.97,100,95.38398024296576,96.54793445960642,95.92827157240438
0,-22.7,-47.63,100,96.16763217017781,96.42709383657217,95.90985014176805
0,-22.82,-50.77,100,94.08074656249312,95.47452236080898,94.03170111936181
0,-22.72,-50.37,100,97.08877095606981,97.5846682247484,94.24475886097291
0,-22.82,-49.37,100,93.92867145521278,97.00166688460631,95.61101449742719
0,-22.45,-50.32,100,94.8893203260448,96.72705349980598,94.01650947578008
0,-21.59,-46.88,100,97.3588070322654,98.68417019101302,98.68543413698444
0,-21.25,-48.3,100,96.53184184640236,96.57297984920116,95.95119090125944
0,-22.3,-49.05,100,96.25500109621677,96.33820487541011,94.9546937741571
0,-20.4,-51.32,100,95.08352810241968,95.0480887836796,94.52709911030135
0,-22.1,-51.37,100,93.60558499349528,95.84320508847593,95.20062154107559
0,-20.43,-50.8,100,95.74600106037079,95.64928258696017,95.08692804265979
0,-22.85,-48.45,100,98.25065217273654,98.47276917639729,97.73601237256479
0,-21.47,-51.9,100,71.88745829039358,95.60530040897196,95.11519648983602
0,-23.45,-46.63,100,97.67592950346018,97.97840322768289,97.60948132397507
0,-22.7,-47.55,100,96.54828009384778,95.88152897254744,95.41788909318109
0,-23.05,-49.83,100,92.25213668126312,98.83386951586299,96.81405248248493
0,-21.33,-48.05,100,96.12378338370982,95.76878857363005,94.50213139929537
0,-20.4861,-47.8753,100,100.0,97.48084502130797,95.85898271447044
0,-20.27,-50.55,100,95.50246685622177,95.97526200575247,95.57097615224455
0,-21.95,-47.83,100,97.32785710867978,97.27747406747133,96.58841557817689
0,-21.5372,-46.6378,0,100.0,99.36281693815837,97.65386286198287
